Gene,GeneID,alphaTC,3T3,MDCT,AML12,B16F10,BW51473,C8D1A,EML6,LL2,N1E115,NE_4C,J774A,EML
Lman2,ENSMUSG00000021484.8,71.1645,93.4545,78.4891,42.8337,54.9723,84.1595,53.3558,78.7772,81.9128,28.4312,19.7036,54.7357,78.7772
Lman2l,ENSMUSG00000001143.13,21.3731,12.2982,25.0013,6.04896,30.4125,8.25864,15.7236,10.3551,15.4824,20.4477,9.40549,24.7159,10.3551
Lmbr1,ENSMUSG00000010721.15,4.70868,7.65434,6.40708,5.99017,13.3225,0,5.98617,2.78412,5.08228,6.52956,2.38059,2.42522,2.78412
Lmbr1l,ENSMUSG00000022999.15,12.7069,15.6559,16.3963,8.86562,8.29407,20.0898,10.8315,9.71871,11.8746,19.4777,10.739,8.64447,9.71871
Lmbrd1,ENSMUSG00000073725.8,28.3778,20.2757,30.7578,33.1596,61.3982,20.5007,31.6465,9.93098,17.2027,36.7587,22.0886,46.5492,9.93098
Lmbrd2,ENSMUSG00000039704.7,16.463,7.99903,20.9391,7.02781,11.6388,10.6204,12.4096,4.38334,7.26389,29.2804,12.4642,10.722,4.38334
Lmcd1,ENSMUSG00000057604.9,2.72071,0.546429,19.3592,29.5206,0,0,5.31345,0,0,0,2.52053,0,0
Lmf1,ENSMUSG00000002279.19,18.5908,21.9304,15.1942,14.2439,27.4154,11.6193,15.7643,14.3111,19.9026,49.447,11.5633,25.2948,14.3111
Lmf2,ENSMUSG00000022614.8,37.5395,60.1447,56.849,38.8042,27.5864,30.1275,23.1349,26.399,41.9762,19.3408,14.2484,33.2248,26.399
Lmln,ENSMUSG00000022802.2,3.05101,0.487118,4.73334,0.502475,1.12083,1.3594,0.78923,1.76259,0.777527,1.14243,1.39616,1.05463,1.76259
Lmna,ENSMUSG00000028063.15,18.4577,379.093,169.849,150.528,79.9638,66.0107,273.107,119.488,260.799,116.618,11.0216,176.319,119.488
Lmnb1,ENSMUSG00000024590.8,72.9533,13.4658,85.9813,52.8329,12.7705,72.9522,55.8496,210.862,57.2679,19.8203,145.716,35.3453,210.862
Lmnb2,ENSMUSG00000062075.13,31.5248,6.8513,35.5059,16.1108,8.88294,14.392,14.6012,44.4211,15.9599,10.7552,11.087,10.025,44.4211
Lmntd1,ENSMUSG00000054966.13,0,0,0,0,0,0.467336,0,0,0.275134,0.479878,0,0,0
Lmntd2,ENSMUSG00000025500.12,0.46938,0.081282,3.16537,2.72797,1.1206,2.78393,0.43529,1.55844,0.489289,0.451537,3.99296,0.561864,1.55844
Lmo1,ENSMUSG00000036111.8,20.5666,0,1.51061,0,10.5135,0,0,0,1.69105,85.1787,0.97696,0,0
Lmo2,ENSMUSG00000032698.15,0,0,0.277705,0.048907,0.278802,0.820589,0,80.5269,0,0,3.20921,111.89,80.5269
Lmo3,ENSMUSG00000030226.12,0.318678,0,0,0,0,0,0,0,0,0,0.086449,0,0
Lmo4,ENSMUSG00000028266.17,41.3821,152.617,73.0809,25.0236,56.4962,57.781,89.5662,71.0564,36.1309,29.1261,33.5794,127.537,71.0564
Lmo7,ENSMUSG00000033060.16,1.28121,6.71131,3.19282,24.6566,3.02315,1.08452,7.23291,0,1.51498,0,1.16767,0,0
Lmod1,ENSMUSG00000048096.7,0,1.68068,0.117114,0.016408,0.633333,0,4.94604,0,0.0182,0,0.265066,0,0
Lmod2,ENSMUSG00000029683.7,0,0,0,0,0.04197,0,0,0,0,0,0,0,0
Lmod3,ENSMUSG00000044086.8,0.035108,0,0,0,0,0.823983,0.168366,0,0,0,0,0,0
Lmtk2,ENSMUSG00000038970.7,16.0539,6.64721,16.6768,9.9302,17.5755,7.90958,9.2341,4.81227,5.97192,18.8991,21.3176,2.56556,4.81227
Lmtk3,ENSMUSG00000062044.16,8.51018,1.98803,3.19759,0.053487,0.148095,0.486426,1.06344,0,0.670822,2.82564,2.58483,0.051647,0
Lmx1a,ENSMUSG00000026686.14,0,0,0,0.454689,0.025024,0,0.022738,0,0,0,0.023584,0,0
Lmx1b,ENSMUSG00000038765.14,0,0.1611,3.21887,0,6.32466,0,2.38517,0,0.483388,0,0.688213,0,0
Lnp1,ENSMUSG00000109588.1,0,0,0,0,0,0,0,0,0,0.133064,0,0,0
Lnpep,ENSMUSG00000023845.7,14.7533,12.3332,16.9621,8.76656,12.5485,16.8134,21.846,17.7884,20.4195,32.7916,8.26754,25.9096,17.7884
Lnpk,ENSMUSG00000009207.15,27.6024,11.8728,19.3454,13.788,23.8036,18.861,28.0463,27.6656,16.3651,37.3074,18.0761,18.1391,27.6656
Lnx1,ENSMUSG00000029228.15,0,0.532915,0,0,0.22035,0,0,0.443873,0.028699,5.31292,1.7239,0.431548,0.443873
Lnx2,ENSMUSG00000016520.7,2.04385,2.67859,7.73928,6.53815,4.94859,10.047,2.27055,6.47091,4.44548,2.84067,4.7923,3.84177,6.47091
Lonp1,ENSMUSG00000041168.10,175.545,107.26,248.851,100.138,263.051,83.5729,153.691,63.6136,104.49,120.999,79.0691,145.428,63.6136
Lonp2,ENSMUSG00000047866.18,33.0111,77.7632,39.606,35.2205,43.789,41.6896,55.3374,29.0378,31.0281,31.4485,27.0294,28.1912,29.0378
Lonrf1,ENSMUSG00000039633.7,6.70776,6.8511,7.62525,0,7.56951,5.05564,5.68447,7.68251,5.05803,7.56325,8.41872,4.08624,7.68251
Lonrf2,ENSMUSG00000048814.11,3.32815,0,0,0,0.318449,0.013097,0.030584,0.012107,0,0,0.174914,0,0.012107
Lonrf3,ENSMUSG00000016239.11,7.52049,0,3.71173,10.2622,6.26762,0,14.3349,0,0.713155,12.6313,8.64973,37.0023,0
Lor,ENSMUSG00000043165.7,0,0,0.054583,0.115363,0,0,0,0,0,0.223173,0,0,0
Lox,ENSMUSG00000024529.14,0,796.758,8.14743,0,0,0,0,0,0.080958,0,0.318548,0,0
Loxhd1,ENSMUSG00000032818.16,0,0,0,0,0,0.021119,0,0,0,0,0,0.052475,0
Loxl1,ENSMUSG00000032334.10,0,198.513,29.2645,0.138724,0,0,0.0661,0,0.110229,0,0.022852,0,0
Loxl2,ENSMUSG00000034205.16,21.0523,2.42708,105.133,22.4926,11.0186,9.59005,7.22203,6.00825,22.1856,11.5481,47.4759,2.77849,6.00825
Loxl3,ENSMUSG00000000693.10,1.03,44.6231,7.20838,1.63106,20.1906,0,13.4685,0,25.767,2.98986,1.76737,21.9558,0
Loxl4,ENSMUSG00000025185.14,0,24.1571,52.9326,26.9684,0.962854,0,0.058018,0,6.52087,0.643608,0.060089,0,0
Lpar1,ENSMUSG00000038668.14,0,78.1161,4.44342,0,0.028615,0.041799,7.24185,0,20.7992,0,1.39395,0,0
Lpar2,ENSMUSG00000031861.16,4.0883,8.40867,16.1584,6.69531,1.15221,1.07551,1.80846,6.9998,5.11974,4.31139,12.5613,1.52571,6.9998
Lpar3,ENSMUSG00000036832.5,0,0,0.19233,0,0.132195,0.083988,0.030023,0,0.029945,0,0.062285,0.034754,0
Lpar4,ENSMUSG00000049929.7,0,2.65378,0.021627,0,0.328208,0,2.1822,0,0,0,3.95732,0,0
Lpar5,ENSMUSG00000067714.13,0,0,0,0,2.29061,5.02884,0,8.54671,0,0.7399,0.094025,5.7726,8.54671
Lpar6,ENSMUSG00000033446.7,1.3845,1.74702,3.48924,8.47325,1.41221,3.78862,6.89186,4.27345,2.51173,1.84415,0.569886,18.3609,4.27345
Lpcat1,ENSMUSG00000021608.15,13.3494,23.9407,22.2008,9.2259,5.42421,6.01489,5.70548,2.76139,10.9904,3.1713,21.4306,24.1282,2.76139
Lpcat2,ENSMUSG00000033192.5,0,2.9462,9.0601,0,23.6833,0,59.6615,0.243988,0,0,2.69045,26.5043,0.243988
Lpcat2b,ENSMUSG00000033794.6,0,0,0,0,0,0.024593,0,0,0,0,0,0,0
Lpcat3,ENSMUSG00000004270.13,40.1589,58.1611,53.111,128.848,71.2411,62.1853,27.9976,83.6159,42.3494,29.9539,65.7573,62.3406,83.6159
Lpcat4,ENSMUSG00000027134.4,22.4968,17.7101,20.0679,42.0384,3.89793,10.4693,6.75943,20.2897,25.7036,25.2562,11.9042,20.5771,20.2897
Lpgat1,ENSMUSG00000026623.16,65.7668,22.8273,41.772,41.2528,8.06989,5.38349,15.3302,22.6724,37.1565,18.8251,12.2171,19.4163,22.6724
Lpin1,ENSMUSG00000020593.16,22.497,11.4025,2.8119,7.36436,11.6615,12.1981,9.41423,8.43033,15.7412,31.7888,7.4466,7.48651,8.43033
Lpin2,ENSMUSG00000024052.17,56.7406,12.054,15.9612,25.8514,9.44259,12.4982,13.5408,39.2027,18.2962,13.1556,7.08958,17.5509,39.2027
Lpin3,ENSMUSG00000027412.12,0,0.194789,0.107003,1.36979,0.582449,0,10.2828,0,0.146469,1.38646,10.4627,0,0
Lpl,ENSMUSG00000015568.16,433.785,166.44,0.91649,7.24428,0.164078,0.065319,0.052405,0.186736,1.11212,0.062904,46.2272,69.9417,0.186736
Lpo,ENSMUSG00000009356.12,0,0,0.031906,0,0,0,0,0,0,0,0.025926,0.02894,0
Lpp,ENSMUSG00000033306.15,2.595,15.662,10.1279,13.2194,5.85526,1.34136,11.2678,0.714011,10.0908,0.738616,2.74053,3.4318,0.714011
Lpxn,ENSMUSG00000024696.9,0.242919,0.525615,0.717834,0.651847,0.237017,284.754,0.045459,0.912265,1.00883,0.181815,0.279198,138.286,0.912265
